qa_id,id,file_name,question,gold_answer,reference_normalized,asr_normalized,wer,cer,answer_preserved,gold_answer_token_count,asr_llm_answer_raw,asr_llm_answer_normalized,asr_em,asr_f1,latency_sec,output_tokens,status,error,oracle_answer_raw,oracle_answer_normalized,oracle_em,oracle_f1,delta_f1,propagation_failure,answer_not_preserved,wer_x_answer_preserved,wer_bin
13,1674,7803523127371118991.wav,در برخی مناطق برای ایمن‌سازی آب، جوشاندن آن چه مدت کافی است؟,یک دقیقه,در برخی از مناطق جوشاندن آب برای یک دقیقه کافی است و در برخی دیگر لازم است چند دقیقه جوشانده شود,در برخی از مناطق یک کافی است و در برخی دیگر لازم است چند دقیقه جوشانده شود,0.19047619,0.229166667,False,2,"نامشخص 
",نامشخص,0,0.0,0.721769994,4,ok,,"یک دقیقه 
",یک دقیقه,1,1.0,1.0,1,1,0.0,10–20%
59,1726,4649846227869286227.wav,گردش علمی چه بخشی از هر کلاس درسی دانسته شده است؟,بخش عمده‌ای,گردش علمی بخش عمده‌ای از هر کلاس درسی است مدرس در اغلب اوقات دوست دارد که دانش‌آموزان خود را به مکانهایی ببرد که گزینه سفر با اتوبوس را نداشته باشد,گردش علمی بخش عمده از هر کلاس درسی است در اغلب او دوست دارد که دانش آموزان خود را به مکانهایی که گزنه سفر به اتوبوس را نداشته باشد,0.1875,0.12244898,False,3,"بخش عمده 
",بخش عمده,0,0.8,0.767837407,4,ok,,"بخش عمده‌ای 
",بخش عمده ای,1,1.0,0.19999999999999996,1,1,0.0,10–20%
59,1726,12234694707609554551.wav,گردش علمی چه بخشی از هر کلاس درسی دانسته شده است؟,بخش عمده‌ای,گردش علمی بخش عمده‌ای از هر کلاس درسی است مدرس در اغلب اوقات دوست دارد که دانش‌آموزان خود را به مکانهایی ببرد که گزینه سفر با اتوبوس را نداشته باشد,گردش علمی بخش عمده از هر کلاس در است در اغلب اوقات دوست دارد که دانش آموزان خود را به مکانهایی ببرند که گزینه سفر با اتوبوس نداشته باشد,0.15625,0.095238095,False,3,"بخش عمده 
",بخش عمده,0,0.8,0.778807838,4,ok,,"بخش عمده‌ای 
",بخش عمده ای,1,1.0,0.19999999999999996,1,1,0.0,10–20%
226,1907,18396276538589646664.wav,انگلیس پس از وقوع خصومت چه اقدامی علیه آلمان آغاز کرد؟,محاصره دریایی آلمان,درست پس از وقوع خصومت انگلیس محاصره دریایی آلمان را آغاز کرد,درست پس از خصومت انگلیس معاصله دریایی آلمان را آغاز کرد,0.166666667,0.116666667,False,3,"معاصله دریایی 
",معاصله دریایی,0,0.4,1.148041893,6,ok,,"محاصره دریایی آلمان 
",محاصره دریایی آلمان,1,1.0,0.6,1,1,0.0,10–20%
226,1907,2083901004647748274.wav,انگلیس پس از وقوع خصومت چه اقدامی علیه آلمان آغاز کرد؟,محاصره دریایی آلمان,درست پس از وقوع خصومت انگلیس محاصره دریایی آلمان را آغاز کرد,درست پس از خصومت انگلیس معاصره دریایی آلمان را آغاز کرد,0.166666667,0.1,False,3,"درست پس از خصومت انگلیس معاصره دریایی آلمان را آغاز کرد 
",درست پس از خصومت انگلیس معاصره دریایی آلمان را آغاز کرد,0,0.285714286,3.106289579,19,ok,,"محاصره دریایی آلمان 
",محاصره دریایی آلمان,1,1.0,0.7142857140000001,1,1,0.0,10–20%
144,1818,13318594233044760050.wav,برای مسافرانی که به خانه بازمی‌گردند چه دو ویژگی ضروری دانسته شده است؟,صبر و درک شرایط,افراد ممکن است انتظار نداشته باشند که صبر و درک شرایط هم برای مسافرانی که به خانه بازمی‌گردند ضروری است,افراد ممکن است انتظار نداشته باشند که ثبت و درک شرایط برای هم برای مسافرانی که به خانه باز میگردد ضروری است,0.19047619,0.097087379,False,4,"ثبت و درک شرایط 
",ثبت و درک شرایط,0,0.75,1.187193208,8,ok,,"صبر و درک شرایط 
",صبر و درک شرایط,1,1.0,0.25,1,1,0.0,10–20%
257,1938,17937172805428960138.wav,بیمارستان برای کنترل عفونت چه اقدامی درباره بیمار انجام داد؟,جدا کردن بیمار از سایرین,این بیمارستان از پروتکلی برای کنترل عفونت استفاده کرده است از جمله جدا کردن بیمار از سایرین برای جلوگیری از احتمال عفونت سایرین,این بیمارستان از پرولی برای کنترل عفونت استفاده کرده است از جمله جدا کردن بیمار از سایر برای جلوگیری از احتمال عفونت سای,0.130434783,0.05511811,False,5,"جدا کردن بیمار از سایر بیماران 
",جدا کردن بیمار از سایر بیماران,0,0.727272727,1.459929522,10,ok,,"جدا کردن بیمار از سایرین 
",جدا کردن بیمار از سایرین,1,1.0,0.272727273,1,1,0.0,10–20%
72,1740,3707292959405981894.wav,چه چیزی یکی از جالب‌ترین چیزها برای کودکان در این ناحیه است؟,صدای هرم و نمایش نور,صدای هرم و نمایش نور یکی از جالب‌ترین چیزها برای کودکان در این ناحیه است,صدای هنگام و نمایشن یکی از جالب ترین چیزها برای کودکان در این ناحیه است,0.1875,0.083333333,False,5,"صدای هنگام و نمایشن 
",صدای هنگام و نمایشن,0,0.444444444,1.150766253,8,ok,,"صدای هرم و نمایش نور 
",صدای هرم و نمایش نور,1,1.0,0.5555555560000001,1,1,0.0,10–20%
254,1935,4336750096449693082.wav,چه چیزی پشت سند نوشته نشده است؟,نقشه گنج,با این حال چنان چیزی درست نیست با اینکه چیزی پشت سند نوشته شده است این سند نقشه گنج نیست,با این حال چیزی درست نیست با اینکه چیزی پشتند نوشته شده است این سند نقشه گنج نیست,0.15,0.079545455,True,2,"نامشخص 
",نامشخص,0,0.0,0.730591892,4,ok,,"نقشه گنج 
",نقشه گنج,1,1.0,1.0,1,0,0.15,10–20%
254,1935,17962426350011437095.wav,چه چیزی پشت سند نوشته نشده است؟,نقشه گنج,با این حال چنان چیزی درست نیست با اینکه چیزی پشت سند نوشته شده است این سند نقشه گنج نیست,با این حال چیزی درست نیست با اینکه چیزی پشت سر نوشته شده است این سند نقشه گنج نیست,0.1,0.079545455,True,2,"نامشخص 
",نامشخص,0,0.0,0.880299052,4,ok,,"نقشه گنج 
",نقشه گنج,1,1.0,1.0,1,0,0.1,0–10%
