qa_id,id,file_name,question,gold_answer,reference_normalized,asr_normalized,wer,cer,answer_preserved,gold_answer_token_count,asr_llm_answer_raw,asr_llm_answer_normalized,asr_em,asr_f1,latency_sec,output_tokens,status,error,oracle_answer_raw,oracle_answer_normalized,oracle_em,oracle_f1,delta_f1,propagation_failure
145,1819,6764476906310917613.wav,در چین باستان، هر دوره زمانی یا خانواده حاکم چه نامیده می‌شد؟,یک سلسله متمایز,چین باستان روش منحصربه‌فردی برای نشان دادن دوره‌های زمانی مختلف داشت هر دوره زمانی از چین یا هر خانواده که قدرت را در دست داشت یک سلسله متمایز بود,چین باستان روش منحصربه فردی برای نشان دادن دوره های زمانی مختلف داشت هر دوره ی زمانی از چین یا هر خانواده که قدرت را در دست داشت یک سلسله متمایز بود,0.032258064516129,0.0136986301369863,True,3,"سلسله 
",سلسله,0,0.5,1.182176599,5,ok,,"سلسله 
",سلسله,0,0.5,0.0,
145,1819,17836605114982821579.wav,در چین باستان، هر دوره زمانی یا خانواده حاکم چه نامیده می‌شد؟,یک سلسله متمایز,چین باستان روش منحصربه‌فردی برای نشان دادن دوره‌های زمانی مختلف داشت هر دوره زمانی از چین یا هر خانواده که قدرت را در دست داشت یک سلسله متمایز بود,چین باستان روش منحصربه فردی برای نشان دادن دوره های زمانی مختلف داشت هر دوره ی زمانی از چین یا هر خانوادهی قدرت را در دست داشت یک سلسله متمایز بود,0.0967741935483871,0.0342465753424657,True,3,"سلسله 
",سلسله,0,0.5,1.136876687,5,ok,,"سلسله 
",سلسله,0,0.5,0.0,
160,1836,4287080302605118283.wav,کدام عناصر شیمیایی از روزگار باستان شناخته شده بودند؟,طلا، نقره، و مس,مردم از روزگار باستان عناصر شیمیایی بنیادی مثل طلا نقره و مس را می‌شناختند زیرا همه این عناصر را می‌توان به شکل خالص در طبیعت یافت و استخراج آنها با ابزارهای ابتدایی نسبتاً ساده است,مردم از روزگار باستان عناصر شیمیایی بنیادی مثل طلا نقره و مس را می شناختند زیرا همه ی این عناصر را می توان به شکل خالص در طبیعت یافت و استخراج آنها با ابزارهایی ابتدایی نسبتا ساده است,0.054054054054054,0.0166666666666666,True,4,"طلای نقره و مس 
",طلای نقره و مس,0,0.75,1.393069999,8,ok,,"طلای نقره و مس 
",طلای نقره و مس,0,0.75,0.0,
160,1836,11834677696459450950.wav,کدام عناصر شیمیایی از روزگار باستان شناخته شده بودند؟,طلا، نقره، و مس,مردم از روزگار باستان عناصر شیمیایی بنیادی مثل طلا نقره و مس را می‌شناختند زیرا همه این عناصر را می‌توان به شکل خالص در طبیعت یافت و استخراج آنها با ابزارهای ابتدایی نسبتاً ساده است,مردم از روزگار باستان عناصر شیمیایی بنیادی مثل طلا نقره و مس را می شناختند زیرا همه این عناصر را می توان به شکل خالص در طبیعت یافت و استخراج آنها با ابزارهایی ابتدایی نسبتا ساده است,0.027027027027027,0.0055555555555555,True,4,"طلای نقره و مس 
",طلای نقره و مس,0,0.75,1.553758301,8,ok,,"طلای نقره و مس 
",طلای نقره و مس,0,0.75,0.0,
305,1990,1570948451025061520.wav,حضور چه چیزی معمولاً باعث بهبود گرامر و املای وبلاگ‌نویسی دانش‌آموزان می‌شود؟,حضور مخاطب,وبلاگ‌ها همچنین می‌توانند به پیشرفت مهارت نوشتن دانش‌آموز کمک کنند گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند,وبلاگ ها همچنین می توانند به پیشرفت مهارت نوشتن دانش آموز کمک کنند گرچه دانش آموزان اغلب وبلاگ نویسی خود را با گرامر و املای درهم و برهم آغاز می کنند حضور مخاطب عموما در این موضوع تغییر ایجاد می کند,0.0,0.0,True,2,"حضور مخاطب 
",حضور مخاطب,1,1.0,1.185479221,6,ok,,"حضور مخاطب 
",حضور مخاطب,1,1.0,0.0,0
305,1990,14157794184766491008.wav,حضور چه چیزی معمولاً باعث بهبود گرامر و املای وبلاگ‌نویسی دانش‌آموزان می‌شود؟,حضور مخاطب,وبلاگ‌ها همچنین می‌توانند به پیشرفت مهارت نوشتن دانش‌آموز کمک کنند گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند,وبلاگ ها همچنین می توانند به پیشرفت مهارت نوشتن دانش آموز کمک کنند گرچه دانش آموزان اغلب وبلاگ نویسی خود را با گرامر و املای درهم و برهم آغاز می کنند حضور مخاطب عموما در این موضوع تغییر ایجاد می کند,0.0,0.0,True,2,"حضور مخاطب 
",حضور مخاطب,1,1.0,1.247812458,6,ok,,"حضور مخاطب 
",حضور مخاطب,1,1.0,0.0,0
305,1990,3064895603802365988.wav,حضور چه چیزی معمولاً باعث بهبود گرامر و املای وبلاگ‌نویسی دانش‌آموزان می‌شود؟,حضور مخاطب,وبلاگ‌ها همچنین می‌توانند به پیشرفت مهارت نوشتن دانش‌آموز کمک کنند گرچه دانش‌آموزان اغلب وبلاگ‌نویسی خود را با گرامر و املای درهم و برهم آغاز می‌کنند حضور مخاطب عموماً در این موضوع تغییر ایجاد می‌کند,وبلاگ ها همچنین می توانند به پیشرفت مهارت نوشتن دانش آموز کمک کنند گرچه دانش آموزان اغلب وبلاگ وبلاگنویسی خود را با گرامر و املای درهم و برهمه آغاز می کنند حضور مخاطب عموما در این موضوع تغییر ایجاد می کند مت,0.073170731707317,0.0454545454545454,True,2,"حضور مخاطب 
",حضور مخاطب,1,1.0,1.082484183,6,ok,,"حضور مخاطب 
",حضور مخاطب,1,1.0,0.0,0
242,1923,14461693905805186251.wav,محاصره با قطع چه نوع منابعی به عنوان استراتژی اثربخش شناخته شد؟,منابع حیاتی نظامی و غیرنظامی,گرچه این محاصره در کل قوانین بین‌المللی که در دو قرن گذشته توسط چندین توافقنامه بین‌المللی پذیرفته شده بود را نقض می‌کرد اما ثابت شد که قطع منابع حیاتی نظامی و غیرنظامی یک استراتژی اثربخش بوده است,گرچه این محاصره در کل در کل قوانین بین المللی که در دو قرن گذشته توسط چندین توافقنامه بین المللی پذیرفته شده بود را نقض می کرد اما ثابت شد که قطع منابع حیاتی نظامی و غیرنظامی یک استراتژی اثربخش بوده است,0.05,0.0306122448979591,True,5,"حیاتی نظامی و غیرنظامی 
",حیاتی نظامی و غیرنظامی,0,0.888888889,1.698755671,10,ok,,"حیاتی نظامی و غیرنظامی 
",حیاتی نظامی و غیرنظامی,0,0.888888889,0.0,
242,1923,16899855698602897552.wav,محاصره با قطع چه نوع منابعی به عنوان استراتژی اثربخش شناخته شد؟,منابع حیاتی نظامی و غیرنظامی,گرچه این محاصره در کل قوانین بین‌المللی که در دو قرن گذشته توسط چندین توافقنامه بین‌المللی پذیرفته شده بود را نقض می‌کرد اما ثابت شد که قطع منابع حیاتی نظامی و غیرنظامی یک استراتژی اثربخش بوده است,در طی محاصره در کل قوانین بین المللی که در دو قرن گذشته توسط چندین توافقنامه بین المللی پذیرفته شده بود را لغو می کرد اما ثابت شد که قطع منابع حیاتی نظامی و غیر نظامی یک استراتژی اثربخش بوده است,0.125,0.0459183673469387,False,5,"حیاتی نظامی و غیر نظامی 
",حیاتی نظامی و غیر نظامی,0,0.6,1.496687844,9,ok,,"حیاتی نظامی و غیرنظامی 
",حیاتی نظامی و غیرنظامی,0,0.888888889,0.288888889,
245,1926,15543386164339151018.wav,نظرات چه کسی درباره مسائل علمی، از جمله روانشناسی، پذیرفته شد؟,ارسطو,نظرات ارسطو در مورد همه مسائل علمی از جمله روانشناسی پذیرفته شد,نظرات ارسطو در مورد همه ی مسائل علمی از جمله روانشناسی پذیرفته شد,0.0833333333333333,0.0317460317460317,True,1,"ارستو 
",ارستو,0,0.0,1.091810962,5,ok,,"ارستو 
",ارستو,0,0.0,0.0,
245,1926,6786207384302261057.wav,نظرات چه کسی درباره مسائل علمی، از جمله روانشناسی، پذیرفته شد؟,ارسطو,نظرات ارسطو در مورد همه مسائل علمی از جمله روانشناسی پذیرفته شد,نظرات ارسطو در مورد همه مسائل علمی از جمله روانشناسی پذیرفته شد,0.0,0.0,True,1,"ارستو 
",ارستو,0,0.0,0.887919079,5,ok,,"ارستو 
",ارستو,0,0.0,0.0,
245,1926,12217358688659854513.wav,نظرات چه کسی درباره مسائل علمی، از جمله روانشناسی، پذیرفته شد؟,ارسطو,نظرات ارسطو در مورد همه مسائل علمی از جمله روانشناسی پذیرفته شد,نظرات ارسطو در در مورد همه مسائل علمی از جمله روانشناسی پذیرفته شد,0.0833333333333333,0.0476190476190476,True,1,"ارستو 
",ارستو,0,0.0,1.037229542,5,ok,,"ارستو 
",ارستو,0,0.0,0.0,
282,1964,3621461470014954278.wav,قدیمی‌ترین نسخه‌های بازمانده از این سند چه نام دارند؟,پهنه دانلاپ 25,پهنه دانلاپ ۲۵ هنوز وجود دارد و قدیمی‌ترین نسخه‌های بازمانده از این سند است نسخه دست‌نویس اصلی باقی نمانده است,پهنه ی دانمارک به بیست و پنج هنوز وجود دارد و قدیمی ترین نسخه های بازمانده از این سند است نسخه دست نویس اصلی باقی نمانده است,0.2608695652173913,0.1636363636363636,False,3,"پهنه ی دانمارک 
",پهنه ی دانمارک,0,0.333333333,1.374600241,8,ok,,"پهنه دانلاپ ۲۵ 
",پهنه دانلاپ 25,1,1.0,0.666666667,1
282,1964,536401129188600788.wav,قدیمی‌ترین نسخه‌های بازمانده از این سند چه نام دارند؟,پهنه دانلاپ 25,پهنه دانلاپ ۲۵ هنوز وجود دارد و قدیمی‌ترین نسخه‌های بازمانده از این سند است نسخه دست‌نویس اصلی باقی نمانده است,پهنه دانلود آب بیست وپنج هنوز وجود دارد و قدیمی ترین نسخه های بازمانده از این سند است نسخه دست نویس اصلی باقی نمانده است,0.1739130434782608,0.1272727272727272,False,3,"پهنه دانلود آب 
",پهنه دانلود آب,0,0.333333333,1.278891168,6,ok,,"پهنه دانلاپ ۲۵ 
",پهنه دانلاپ 25,1,1.0,0.666666667,1
282,1964,17274076282897668172.wav,قدیمی‌ترین نسخه‌های بازمانده از این سند چه نام دارند؟,پهنه دانلاپ 25,پهنه دانلاپ ۲۵ هنوز وجود دارد و قدیمی‌ترین نسخه‌های بازمانده از این سند است نسخه دست‌نویس اصلی باقی نمانده است,پهنه دانلپ بیست وپنج هنوز وجود دارد و قدیمی ترین نسخه های بازمانده از این سند است نسخه دست نویس اصلی باقی نمانده است,0.1304347826086956,0.0909090909090909,False,3,"پهنه دانلپ بیست وپنج 
",پهنه دانلپ بیست وپنج,0,0.285714286,1.912350234,12,ok,,"پهنه دانلاپ ۲۵ 
",پهنه دانلاپ 25,1,1.0,0.7142857140000001,1
25,1687,14219434519678057054.wav,تفکیک و ترکیب مجدد، اختلاف بین دو استخر را با هر نسل به چه جهتی می‌برد؟,به سمت جلو و عقب,تفکیک و ترکیب مجدد اختلاف بین دو استخر با هر نسل را به سمت جلو و عقب بر می‌زند,تفکیک و ترکیب مجدد اختلاف بین دو استخر با هر نسل را به سمت جلو و عقب بر می زند,0.0,0.0,True,5,"به سمت جلو و عقب  
",به سمت جلو و عقب,1,1.0,1.19114364,7,ok,,"به سمت جلو و عقب  
",به سمت جلو و عقب,1,1.0,0.0,0
25,1687,14281000929507448782.wav,تفکیک و ترکیب مجدد، اختلاف بین دو استخر را با هر نسل به چه جهتی می‌برد؟,به سمت جلو و عقب,تفکیک و ترکیب مجدد اختلاف بین دو استخر با هر نسل را به سمت جلو و عقب بر می‌زند,تفکیک و ترکیب مجدد اختلاف بین دو استخر با هر نسل را به سمت جلو و عقب برق می زند,0.05,0.0128205128205128,True,5,"به سمت جلو و عقب 
",به سمت جلو و عقب,1,1.0,1.196218259,7,ok,,"به سمت جلو و عقب  
",به سمت جلو و عقب,1,1.0,0.0,0
25,1687,3520404388545337062.wav,تفکیک و ترکیب مجدد، اختلاف بین دو استخر را با هر نسل به چه جهتی می‌برد؟,به سمت جلو و عقب,تفکیک و ترکیب مجدد اختلاف بین دو استخر با هر نسل را به سمت جلو و عقب بر می‌زند,تفکیک و ترکیب مجدد اختلاف بین دو استخر با هر نسل را به سمت جلو و عقب بر می زند,0.0,0.0,True,5,"به سمت جلو و عقب  
",به سمت جلو و عقب,1,1.0,1.493408445,7,ok,,"به سمت جلو و عقب  
",به سمت جلو و عقب,1,1.0,0.0,0
225,1905,552392292676989874.wav,زبان محلی پایتخت مولداوی چیست؟,رومانیایی,پایتخت مولداوی کیشیناو است زبان محلی آن رومانیایی است اما زبان روسی به طور گسترده در آن مورد استفاده قرار می گیرد,پایتخت مولداوی کیشیناو است زبان محلی آن رومانیایی است اما زبان روسی به طور گسترده در آن مورد استفاده قرار می گیرد,0.0,0.0,True,1,"رومانیایی 
",رومانیایی,1,1.0,1.174629471,5,ok,,"رومانیایی 
",رومانیایی,1,1.0,0.0,0
225,1905,15403706170749831559.wav,زبان محلی پایتخت مولداوی چیست؟,رومانیایی,پایتخت مولداوی کیشیناو است زبان محلی آن رومانیایی است اما زبان روسی به طور گسترده در آن مورد استفاده قرار می گیرد,پایتخت مولداوی کیشیناو است زبان محلی آن رومانیایی است اما زبان روسی به طور گسترده در آن مورد استفاده قرار می گیرد,0.0,0.0,True,1,"رومانیایی 
",رومانیایی,1,1.0,1.105041404,5,ok,,"رومانیایی 
",رومانیایی,1,1.0,0.0,0
225,1905,3676977332421757167.wav,زبان محلی پایتخت مولداوی چیست؟,رومانیایی,پایتخت مولداوی کیشیناو است زبان محلی آن رومانیایی است اما زبان روسی به طور گسترده در آن مورد استفاده قرار می گیرد,پایتخت مولداوی کیشیناو است زبان محلی آن رومانیایی است اما زبان روسی به طور گسترده در آن مورد استفاده قرار می گیرد,0.0,0.0,True,1,"رومانیایی 
",رومانیایی,1,1.0,1.159025672,5,ok,,"رومانیایی 
",رومانیایی,1,1.0,0.0,0
40,1702,9961503230555554236.wav,نیروهای آمریکایی و فرانسه آزاد ظرف چه مدتی جنوب فرانسه را آزاد کردند؟,دو هفته,تنها در عرض دو هفته آمریکایی‌ها و نیروهای فرانسه آزاد موفق شدند جنوب فرانسه را آزاد کرده و به سمت آلمان تغییر مسیر دهند,تنها در عرض دو هفته آمریکایی ها و نیروهای فرانسه آزاد موفق شده اند جنوب فرانسه را آزاد کرده و به سمت آلمان تغییر مسیر دهند,0.08,0.0252100840336134,True,2,"دو هفته 
",دو هفته,1,1.0,1.013633666,4,ok,,"دو هفته 
",دو هفته,1,1.0,0.0,0
40,1702,14649705917103261469.wav,نیروهای آمریکایی و فرانسه آزاد ظرف چه مدتی جنوب فرانسه را آزاد کردند؟,دو هفته,تنها در عرض دو هفته آمریکایی‌ها و نیروهای فرانسه آزاد موفق شدند جنوب فرانسه را آزاد کرده و به سمت آلمان تغییر مسیر دهند,تنها در عرض دو هفته آمریکایی ها و نیروهای فرانسه آزاد موفق شدند جنوب فرانسه را آزاد کرده و به سمت آلمان تغییر مسیر دهند,0.0,0.0,True,2,"دو هفته 
",دو هفته,1,1.0,0.839545541,4,ok,,"دو هفته 
",دو هفته,1,1.0,0.0,0
168,1845,14767299489391426942.wav,پادشاه و ملکه با چه وسیله‌ای به پاریس بازگشتند؟,یک واگن,در یک واگن آنها درحالیکه توسط جمعی از مردم که با فریاد پادشاه و ملکه را تهدید می‌کردند احاطه شده بودند به پاریس بازگشتند,در یک واگن آنها در حالیکه توسط جمعی از مردم که با فریاد پادشاه و ملکه را تهدید می کردند احاطه شده بودند به پاریس باز گشته اند,0.2,0.0416666666666666,True,2,"واگن 
",واگن,0,0.666666667,0.893417351,4,ok,,"واگن 
",واگن,0,0.666666667,0.0,
168,1845,14758942902638418078.wav,پادشاه و ملکه با چه وسیله‌ای به پاریس بازگشتند؟,یک واگن,در یک واگن آنها درحالیکه توسط جمعی از مردم که با فریاد پادشاه و ملکه را تهدید می‌کردند احاطه شده بودند به پاریس بازگشتند,در یک واگن آنها در که توسط جمعی از مردم که با فریاد پادشاه و ملکه را تهدید می کردند احاطه شده بودند به پاریس بازگشته اند,0.16,0.0583333333333333,True,2,"واگن 
",واگن,0,0.666666667,0.844402495,4,ok,,"واگن 
",واگن,0,0.666666667,0.0,
156,1832,12645165184862900089.wav,دو مورد نخست از ورزش‌های رایج ذکرشده کدام‌اند؟,فوتبال، بسکتبال,ورزش‌های رایج شامل فوتبال بسکتبال والیبال واترپلو شمشیربازی راگبی دوچرخه سواری ‌هاکی روی یخ رولر هاکی و مسابقات اتومبیلرانی f۱ است,ورزش های راجع ورزشهای رایج شامل فوتبال بسکتبال والیبال واترپلو شمشیربازی راگبی دوچرخه سواری هاکی روی یخ رولر ها کی و مسابقات اتومبیل و اتومبیلرانی عرفان است,0.3181818181818182,0.2248062015503876,True,2,"فوتبال و بسکتبال 
",فوتبال و بسکتبال,0,0.8,1.403401398,9,ok,,"فوتبال و بسکتبال 
",فوتبال و بسکتبال,0,0.8,0.0,
1,1660,16142317535120109527.wav,جبرگرایی فرهنگی رمانتیسم از نویسندگانی مانند چه کسانی نشأت گرفته بود؟,«گوته»،‌ «فیشته» و «اشلگل»,رمانتیسم عنصر عظیمی از جبرگرایی فرهنگی داشت که از نویسندگانی نظیر گوته فیشته و اشلگل نشأت گرفته بود,رمانتیسم اثر عظیمی از جبرگرایی فرهنگی داشت که از نویسندگان نزد نظیر گوته پیشته عرشه عشق بود,0.4444444444444444,0.2323232323232323,False,4,"نامشخص 
",نامشخص,0,0.0,0.887519311,4,ok,,"گوته، فیشته و اشلگل 
",گوته فیشته و اشلگل,1,1.0,1.0,1
1,1660,1781511852652254241.wav,جبرگرایی فرهنگی رمانتیسم از نویسندگانی مانند چه کسانی نشأت گرفته بود؟,«گوته»،‌ «فیشته» و «اشلگل»,رمانتیسم عنصر عظیمی از جبرگرایی فرهنگی داشت که از نویسندگانی نظیر گوته فیشته و اشلگل نشأت گرفته بود,رمانتیسم عنصر عظیمی از جبرگرایی فرهنگی داشت که از نویسندگانی نظیر قطر فیشته و شلگل نشات گرفته بود,0.1666666666666666,0.0606060606060606,False,4,"قطر فیشته و شلگل 
",قطر فیشته و شلگل,0,0.5,1.742891211,11,ok,,"گوته، فیشته و اشلگل 
",گوته فیشته و اشلگل,1,1.0,0.5,1
148,1822,10140044754665750794.wav,بازرگانان اسپانیایی چه نامی به دارالبیضا دادند؟,کازابلانکا,سلطان مراکش شهر دارالبیضا را بازسازی کرد و بازرگانان اسپانیایی که پایگاههای تجاری‌شان را در آنجا دایر کردند نام کازابلانکا را به آن دادند,سلطان مراکش شهر دارالبیضا را باز را بازسازی کرد و بازرگانان اسپانیایی که پایگاه های تجاری شان را در آنجا دایر کردند نام کازابلانکا را به آن دادند,0.16,0.0583941605839416,True,1,"کازابلانکا 
",کازابلانکا,1,1.0,1.150216712,7,ok,,"کازابلانکا 
",کازابلانکا,1,1.0,0.0,0
228,1909,9514419526127698793.wav,تیم‌های مجازی از نظر معیارهای تعالی با چه تیم‌هایی مقایسه شده‌اند؟,تیم‌های معمولی,تیم‌های مجازی هم همان معیارهای تعالی تیم‌های معمولی برایشان اعمال می‌شود اما تفاوت‌های جزئی در آنها هست,تیم های مجازی همان تیم های مجازی هم همان معیارهای تعالی تیم های معمولی برایشان اعمال می شود اما تفاوت های جزئی در آنها هست,0.1904761904761904,0.1844660194174757,True,3,"تیم های معمولی 
",تیم های معمولی,1,1.0,1.210294577,7,ok,,"تیم‌های معمولی 
",تیم های معمولی,1,1.0,0.0,0
228,1909,8786041621735228880.wav,تیم‌های مجازی از نظر معیارهای تعالی با چه تیم‌هایی مقایسه شده‌اند؟,تیم‌های معمولی,تیم‌های مجازی هم همان معیارهای تعالی تیم‌های معمولی برایشان اعمال می‌شود اما تفاوت‌های جزئی در آنها هست,تیم های مجازی هم همان معیارهای تعالی تیم های معمولی برایشان اعمال می شود اما تفاوت های جزئی در آنها هست,0.0,0.0,True,3,"تیم های معمولی 
",تیم های معمولی,1,1.0,1.273629838,7,ok,,"تیم‌های معمولی 
",تیم های معمولی,1,1.0,0.0,0
228,1909,5902270933857534321.wav,تیم‌های مجازی از نظر معیارهای تعالی با چه تیم‌هایی مقایسه شده‌اند؟,تیم‌های معمولی,تیم‌های مجازی هم همان معیارهای تعالی تیم‌های معمولی برایشان اعمال می‌شود اما تفاوت‌های جزئی در آنها هست,تیم های مجازی هم همان معیارهای تعالی تیم تیم های معمولی برایشان اعمال می شود اما تفاوت های جزئی در آنها است,0.0952380952380952,0.0485436893203883,True,3,"تیم های معمولی 
",تیم های معمولی,1,1.0,1.174879581,7,ok,,"تیم‌های معمولی 
",تیم های معمولی,1,1.0,0.0,0
